# tau=0.4, RDD=0.8
##
# n  m
 25  3
# job ptime ddate
    1    64   127
    2    76   122
    3    10   191
    4    14   346
    5    53   319
    6     8   181
    7     7   239
    8    21   247
    9    47   209
   10    82   279
   11    58   103
   12    76   232
   13     6   300
   14    16   164
   15   100   370
   16    21   246
   17    89   336
   18    13   297
   19   100   262
   20     6    84
   21    88   297
   22     8   323
   23     1   350
   24    93   335
   25    60   322
