# tau=0.8, RDD=0.6
##
# n  m
 25  6
# job ptime ddate
    1    49    97
    2    22    71
    3    96    39
    4    93    77
    5    15    38
    6    89    30
    7    65    24
    8    44    60
    9    62    25
   10    29    15
   11    79    76
   12    31    13
   13    45    82
   14    23    17
   15    19    77
   16    28     7
   17    56    98
   18    42     5
   19    17    54
   20    91    18
   21    11    24
   22    13    82
   23    50    76
   24    77    68
   25    99   100
