"instance","opt","time"
"25_02_02_02_001",163,14.536
"25_02_02_02_002",141,0.097
"25_02_02_02_003",138,8.498
"25_02_02_02_004",126,14.954
"25_02_02_02_005",195,0.148
"25_02_02_04_001",8,0.077
"25_02_02_04_002",29,0.059
"25_02_02_04_003",21,0.058
"25_02_02_04_004",20,0.042
"25_02_02_04_005",56,5.032
"25_02_02_06_001",0,0.000
"25_02_02_06_002",0,0.000
"25_02_02_06_003",0,0.000
"25_02_02_06_004",0,0.000
"25_02_02_06_005",0,0.000
"25_02_02_08_001",0,0.001
"25_02_02_08_002",0,0.000
"25_02_02_08_003",0,0.000
"25_02_02_08_004",0,0.000
"25_02_02_08_005",0,0.001
"25_02_02_10_001",0,0.000
"25_02_02_10_002",0,0.000
"25_02_02_10_003",0,0.000
"25_02_02_10_004",0,0.000
"25_02_02_10_005",0,0.000
"25_02_04_02_001",832,1.971
"25_02_04_02_002",689,0.090
"25_02_04_02_003",709,0.095
"25_02_04_02_004",536,3.804
"25_02_04_02_005",902,1.051
"25_02_04_04_001",560,0.243
"25_02_04_04_002",409,3.302
"25_02_04_04_003",458,3.223
"25_02_04_04_004",335,0.078
"25_02_04_04_005",730,3.699
"25_02_04_06_001",305,0.177
"25_02_04_06_002",197,7.952
"25_02_04_06_003",230,2.983
"25_02_04_06_004",159,3.757
"25_02_04_06_005",507,2.282
"25_02_04_08_001",82,2.400
"25_02_04_08_002",59,0.312
"25_02_04_08_003",52,2.596
"25_02_04_08_004",43,0.226
"25_02_04_08_005",348,1.409
"25_02_04_10_001",3,0.024
"25_02_04_10_002",0,0.000
"25_02_04_10_003",22,0.006
"25_02_04_10_004",0,0.000
"25_02_04_10_005",153,0.121
"25_02_06_02_001",2033,1.128
"25_02_06_02_002",1666,0.089
"25_02_06_02_003",1713,0.106
"25_02_06_02_004",1260,0.214
"25_02_06_02_005",2088,0.808
"25_02_06_04_001",1791,1.402
"25_02_06_04_002",1323,1.890
"25_02_06_04_003",1479,1.379
"25_02_06_04_004",992,1.431
"25_02_06_04_005",1868,0.155
"25_02_06_06_001",1576,0.361
"25_02_06_06_002",940,2.325
"25_02_06_06_003",1336,3.036
"25_02_06_06_004",746,2.124
"25_02_06_06_005",1713,0.877
"25_02_06_08_001",1531,2.552
"25_02_06_08_002",596,2.523
"25_02_06_08_003",1194,0.442
"25_02_06_08_004",552,1.852
"25_02_06_08_005",1714,1.385
"25_02_06_10_001",1023,0.308
"25_02_06_10_002",239,0.596
"25_02_06_10_003",767,2.063
"25_02_06_10_004",268,0.038
"25_02_06_10_005",1250,3.226
"25_02_08_02_001",3806,2.739
"25_02_08_02_002",3056,1.977
"25_02_08_02_003",3251,2.108
"25_02_08_02_004",2417,1.977
"25_02_08_02_005",3802,0.113
"25_02_08_04_001",3698,2.265
"25_02_08_04_002",2721,2.520
"25_02_08_04_003",3211,2.924
"25_02_08_04_004",2232,2.282
"25_02_08_04_005",3829,0.207
"25_02_08_06_001",3130,2.561
"25_02_08_06_002",2161,2.267
"25_02_08_06_003",2625,0.022
"25_02_08_06_004",1772,1.384
"25_02_08_06_005",3267,2.632
"25_02_08_08_001",2594,2.318
"25_02_08_08_002",1606,2.538
"25_02_08_08_003",2135,2.295
"25_02_08_08_004",1310,1.411
"25_02_08_08_005",2734,2.308
"25_02_08_10_001",2054,2.625
"25_02_08_10_002",1058,0.209
"25_02_08_10_003",1676,2.863
"25_02_08_10_004",907,2.279
"25_02_08_10_005",2215,1.050
"25_02_10_02_001",5664,0.074
"25_02_10_02_002",4711,0.314
"25_02_10_02_003",5123,0.067
"25_02_10_02_004",3778,1.811
"25_02_10_02_005",5759,2.048
"25_02_10_04_001",4967,0.137
"25_02_10_04_002",3963,0.138
"25_02_10_04_003",4442,2.247
"25_02_10_04_004",3220,0.048
"25_02_10_04_005",5036,2.558
"25_02_10_06_001",4314,0.130
"25_02_10_06_002",3312,2.213
"25_02_10_06_003",3802,2.146
"25_02_10_06_004",2718,0.032
"25_02_10_06_005",4418,3.030
"25_02_10_08_001",3698,2.277
"25_02_10_08_002",2721,2.687
"25_02_10_08_003",3197,2.635
"25_02_10_08_004",2232,2.221
"25_02_10_08_005",3829,0.192
"25_02_10_10_001",3130,2.594
"25_02_10_10_002",2161,2.443
"25_02_10_10_003",2625,0.021
"25_02_10_10_004",1772,1.434
"25_02_10_10_005",3267,2.653
